movieId,ImdbId,Title,Director,Budget,Cumulative Worldwide Gross,runtime
50,0112499,The Big Green,Holly Goldberg Sloan,12000000,17736619,100
51,0113158,Georgia,Ulu Grosbard,0,1110104,115
52,0113321,Home for the Holidays,Jodie Foster,20000000,17519169,103
53,0110877,The Postman,Michael Radford,3000000,21901256,108
54,0113419,The Indian in the Cupboard,Frank Oz,45000000,35656131,96
55,0116260,Eye for an Eye,John Schlesinger,20000000,26877589,101
56,0113862,Mr. Holland's Opus,Stephen Herek,23000000,106269971,144
57,0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,3800000,20949601,89
58,0118002,Two If by Sea,Bill Bennett,0,10658278,96
59,0115683,Bio-Dome,Jason Bloom,15000000,13427615,88
60,0116839,Lawnmower Man 2: Beyond Cyberspace,Farhad Mann,15000000,2409225,93
61,0113149,French Twist,Josiane Balasko,0,1026646,104
62,0113118,Friday,F. Gary Gray,3500000,28215918,91
63,0116367,From Dusk Till Dawn,Robert Rodriguez,19000000,25839496,108
64,0113010,Fair Game,Andrew Sipes,50000000,11534477,91
65,0113537,Kicking and Screaming,Noah Baumbach,0,718490,96
66,0113828,Les Misérables,Claude Lelouch,0,740048,175
67,0115644,Bed of Roses,Michael Goldenberg,0,27315527,87
68,0115676,Big Bully,Steve Miner,15000000,2042530,90
69,0114367,Screamers,Christian Duguay,20000000,5711695,108
70,0113973,Nico Icon,Susanne Ofteringer,0,306691,67
71,0112744,The Crossing Guard,Sean Penn,9000000,868979,111
72,0116731,The Juror,Brian Gibson,44000000,22754725,118
73,0112445,The White Balloon,Jafar Panahi,150000,924940,85
74,0114660,Things to Do in Denver When You're Dead,Gary Fleder,7000000,529766,115
75,0112379,Antonia's Line,Marleen Gorris,1500000,4249321,102
76,0114039,Once Upon a Time... When We Were Colored,Tim Reid,0,2291255,115
77,0112365,Angels and Insects,Philip Haas,4997987,3414301,116
78,0118158,White Squall,Ridley Scott,38000000,10292300,129
79,0116151,Dunston Checks In,Ken Kwapis,0,9871065,88
80,0115697,Black Sheep,Penelope Spheeris,0,32417995,87
81,0113972,Nick of Time,John Badham,33000000,8175346,89
82,0117002,Mary Reilly,Stephen Frears,47000000,12379402,108
83,0114825,Vampire in Brooklyn,Wes Craven,20000000,19751736,100
84,0115639,Beautiful Girls,Ted Demme,0,10597759,112
85,0115759,Broken Arrow,John Woo,50000000,150270147,108
86,0113403,A Midwinter's Tale,Kenneth Branagh,0,469571,99
87,0113247,La haine,Mathieu Kassovitz,2590000,760851,98
88,0113283,Heidi Fleiss: Hollywood Madam,Nick Broomfield,0,34402,106
89,0115907,City Hall,Harold Becker,40000000,20340204,111
90,0115734,Bottle Rocket,Wes Anderson,7000000,560069,91
91,0117102,Mr. Wrong,Nick Castle,0,12825141,96
92,0118040,Unforgettable,John Dahl,18000000,2821671,117
93,0116483,Happy Gilmore,Dennis Dugan,12000000,41422354,92
94,0112579,The Bridges of Madison County,Clint Eastwood,24000000,182016617,135
95,0110251,Nobody Loves Me,Doris Dörrie,0,0,104
96,0117110,Muppet Treasure Island,Brian Henson,0,34327766,99
97,0112646,Catwalk,Robert Leacock,0,28672,95
98,0112573,Braveheart,Mel Gibson,72000000,213216216,178
99,0075314,Taxi Driver,Martin Scorsese,1300000,28737520,114
100,0113326,Rumble in the Bronx,Stanley Tong,7500000,32392047,87
101,0115645,Before and After,Barbet Schroeder,35000000,8797839,108
102,0112373,Anne Frank Remembered,Jon Blair,0,1310200,117
103,0115033,The Young Poisoner's Handbook,Benjamin Ross,0,536825,99
104,0116606,If Lucy Fell,Eric Schaeffer,5000000,2420162,92
105,0114536,Steal Big Steal Little,Andrew Davis,35000000,3150170,135
106,0106473,The Boys of St. Vincent,John N. Smith,0,0,93
107,0103859,Boomerang,Reginald Hudlin,42000000,131052444,117
108,0109424,Chungking Express,Wong Kar-Wai,0,3275063,102
109,0116324,Flirting with Disaster,David O. Russell,7000000,14702438,92
110,0110647,The NeverEnding Story III,Peter MacDonald,17000000,0,95
111,0110217,Jupiter's Wife,Michel Negroponte,0,10622,87
112,0114131,Pie in the Sky,Bryan Gordon,0,0,95
113,0113451,Jade,William Friedkin,50000000,9851610,95
114,0116130,Down Periscope,David S. Ward,31000000,37553752,92
115,0113756,Man of the Year,Dirk Shafer,0,209935,86
116,0118055,Up Close & Personal,Jon Avnet,60000000,100688705,124
117,0115685,The Birdcage,Mike Nichols,31000000,185260553,117
118,0112585,The Brothers McMullen,Edward Burns,238000,10426506,98
119,0112442,Bad Boys,Michael Bay,19000000,141407024,119
120,0112342,The Amazing Panda Adventure,Christopher Cain,0,7506759,84
121,0112461,The Basketball Diaries,Scott Kalvert,2000000,2402438,102
122,0112427,An Awfully Big Adventure,Mike Newell,4000000,259724,112
123,0109093,Amateur,Hal Hartley,2300000,757088,105
124,0112384,Apollo 13,Ron Howard,52000000,355237933,140
125,0114287,Rob Roy,Michael Caton-Jones,28000000,31596911,139
126,0112288,The Addiction,Abel Ferrara,0,307308,82
127,0112462,Batman Forever,Joel Schumacher,100000000,336567158,121
128,0061395,Belle de Jour,Luis Buñuel,0,4162697,100
129,0112495,Beyond Rangoon,John Boorman,23000000,5750110,100
130,0112541,Blue in the Face,Paul Auster,2000000,1268636,83
131,0109370,Canadian Bacon,Michael Moore,11000000,163971,91
132,0112642,Casper,Brad Silberling,55000000,288144179,100
133,0112688,Clockers,Spike Lee,25000000,13071518,128
134,0112715,Congo,Frank Marshall,50000000,152022101,109
135,0112740,Crimson Tide,Tony Scott,53000000,157387195,116
136,0109508,Crumb,Terry Zwigoff,0,3041083,119
137,0112851,Desperado,Robert Rodriguez,7000000,25406131,104
138,0112857,Devil in a Blue Dress,Carl Franklin,27000000,16141551,102
139,0112864,Die Hard with a Vengeance,John McTiernan,90000000,366101666,128
140,0112887,The Doom Generation,Gregg Araki,0,287392,83
141,0113071,First Knight,Jerry Zucker,55000000,127600435,134
142,0113114,Free Willy 2: The Adventure Home,Dwight H. Little,0,30077111,95
143,0113243,Hackers,Iain Softley,20000000,7564448,105
144,0113464,Jeffrey,Christopher Ashley,0,3487767,92
145,0113481,Johnny Mnemonic,Robert Longo,26000000,19077036,96
146,0113492,Judge Dredd,Danny Cannon,90000000,113493481,96
147,0113500,Jury Duty,John Fortenberry,0,17014653,88
148,0113540,Kids,Larry Clark,1500000,7412216,91
149,0113677,Living in Oblivion,Tom DiCillo,500000,1111790,90
150,0113690,Lord of Illusions,Clive Barker,12000000,13294422,109
151,0107447,Love and Human Remains,Denys Arcand,0,542985,100
152,0113729,Mad Love,Antonia Bird,0,15453274,93
153,0113749,Mallrats,Kevin Smith,8000000,2122561,94
154,0113820,Mighty Morphin Power Rangers,Bryan Spicer,20000000,66433194,95
155,0110604,Mute Witness,Anthony Waller,2000000,1125910,95
156,0110620,Nadja,Michael Almereyda,1000000,443169,93
157,0113957,The Net,Irwin Winkler,22000000,110627965,114
158,0113986,Nine Months,Chris Columbus,0,138510230,103
159,0114095,Party Girl,Daisy von Scherler Mayer,150000,473303,94
160,0114194,The Prophecy,Gregory Widen,8000000,16115878,98
161,0114241,Reckless,Norman René,0,0,91
162,0114323,Safe,Todd Haynes,1000000,512558,119
163,0114345,The Scarlet Letter,Roland Joffé,46000000,10382407,135
164,0114436,Showgirls,Paul Verhoeven,45000000,20371509,128
165,0114478,Smoke,Wayne Wang,7000000,8367636,112
166,0114496,Something to Talk About,Lasse Hallström,0,50865589,106
167,0114508,Species,Roger Donaldson,35000000,113374103,108
168,0114558,Strange Days,Kathryn Bigelow,42000000,7960304,145
169,0058450,The Umbrellas of Cherbourg,Jacques Demy,0,206931,91
170,0114663,Three Wishes,Martha Coolidge,10000000,7027517,115
171,0114702,Total Eclipse,Agnieszka Holland,8000000,340139,111
172,0114682,"To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron,30000000,47774193,109
173,0114781,Under Siege 2: Dark Territory,Geoff Murphy,60000000,104324083,100
174,0114798,Unstrung Heroes,Diane Keaton,0,7929434,93
175,0114805,Unzipped,Douglas Keeve,0,2875086,73
176,0114887,A Walk in the Clouds,Alfonso Arau,20000000,50008143,102
177,0114898,Waterworld,Kevin Reynolds,175000000,264218220,135
178,0114928,White Man's Burden,Desmond Nakano,7000000,3734870,89
179,0114938,Wild Bill,Walter Hill,30000000,2193982,97
180,0109340,The Browning Version,Mike Figgis,0,487391,97
181,0112602,Bushwhacked,Greg Beeman,0,7919823,90
182,0111579,Burnt by the Sun,Nikita Mikhalkov,2800000,2313461,135
183,0110882,Before the Rain,Milcho Manchevski,1900000,763847,113
184,0112471,Before Sunrise,Richard Linklater,2500000,6572057,101
185,0112508,Billy Madison,Tamra Davis,10000000,26488734,89
186,0112438,The Babysitter,Guy Ferland,2000000,0,90
187,0112571,Boys on the Side,Herbert Ross,21000000,23440188,115
188,0112757,The Cure,Peter Horton,0,2568425,97
189,0112643,Castle Freak,Stuart Gordon,0,0,90
190,0112679,Circle of Friends,Pat O'Connor,0,23389975,103
191,0109445,Clerks,Kevin Smith,27000,3152360,92
192,0112883,Don Juan DeMarco,Jeremy Leven,25000000,68792531,97
193,0109635,Disclosure,Barry Levinson,55000000,214015089,128
194,0109676,Drop Zone,John Badham,45000000,28735315,101
195,0112854,Destiny Turns on the Radio,Jack Baran,0,1176982,102
196,0109579,Death and the Maiden,Roman Polanski,12000000,3103716,103
197,0109642,Dolores Claiborne,Taylor Hackford,0,24361867,132
198,0109686,Dumb and Dumber,Peter Farrelly,17000000,247290327,107
199,0111797,Eat Drink Man Woman,Ang Lee,0,7294403,124
200,0109759,Exotica,Atom Egoyan,2000000,4221036,103
201,0109758,Exit to Eden,Garry Marshall,25000000,6841570,113
202,0109707,Ed Wood,Tim Burton,18000000,5888242,127
203,0113117,French Kiss,Lawrence Kasdan,40000000,101982854,111
204,0113097,Forget Paris,Billy Crystal,0,33177694,101
205,0113028,Far from Home: The Adventures of Yellow Dog,Phillip Borsos,0,11642946,81
206,0113198,A Goofy Movie,Kevin Lima,18000000,35353530,78
207,0113303,Hideaway,Brett Leonard,15000000,12201255,106
208,0113089,Fluke,Carlo Carlei,15000000,3987768,96
209,0109771,Farinelli,Gérard Corbiau,0,1600226,111
210,0113199,Gordy,Mark Lewis,0,3941146,90
211,0110057,Hoop Dreams,Steve James,700000,11830611,170
212,0110005,Heavenly Creatures,Peter Jackson,5000000,3049950,99
213,0110066,Houseguest,Randall Miller,10500000,26325256,113
214,0110116,Immortal Beloved,Bernard Rose,0,9914409,121
215,0110006,Heavyweights,Steven Brill,0,17689177,97
216,0113360,The Hunted,J.F. Lawton,20000000,6609661,110
217,0110099,I.Q.,Fred Schepisi,25000000,26381221,100
218,0110148,Interview with the Vampire,Neil Jordan,60000000,223664608,123
219,0113463,Jefferson in Paris,James Ivory,14000000,2473668,139
220,0110189,The Jerky Boys,James Melkonian,7000000,7557877,82
221,0110216,Junior,Ivan Reitman,60000000,108431355,109
222,0113501,Just Cause,Arne Glimcher,0,36853222,102
223,0113538,A Kid in King Arthur's Court,Michael Gottlieb,15000000,13406717,89
224,0113552,Kiss of Death,Barbet Schroeder,40000000,14942422,101
225,0076759,Star Wars: Episode IV - A New Hope,George Lucas,11000000,775398507,121
226,0110367,Little Women,Gillian Armstrong,18000000,50085123,115
227,0113670,A Little Princess,Alfonso Cuarón,17000000,10015449,97
228,0110296,Ladybird Ladybird,Ken Loach,38976598,152457,101
229,0103994,Like Water for Chocolate,Alfonso Arau,2000000,21744201,105
230,0110322,Legends of the Fall,Edward Zwick,30000000,160638883,133
231,0110443,Major Payne,Nick Castle,0,30112050,95
232,0107566,My Crazy Life,Allison Anders,0,3267313,92
233,0110391,Love Affair,Glenn Gordon Caron,60000000,18272894,108
234,0113691,Losing Isaiah,Stephen Gyllenhaal,17000000,7603766,111
235,0110428,The Madness of King George,Nicholas Hytner,65897768,15238689,110
236,0109836,Frankenstein,Kenneth Branagh,45000000,112006296,123
237,0113755,Man of the House,James Orr,0,40070995,96
238,0110538,Mixed Nuts,Nora Ephron,15000000,6821850,97
239,0110516,Milk Money,Richard Benjamin,0,18137661,110
240,0110527,Miracle on 34th Street,Les Mayfield,0,46264384,114
241,0113808,Miami Rhapsody,David Frankel,0,5221281,95
242,0113896,My Family,Gregory Nava,5500000,11079373,128
243,0113870,Murder in the First,Marc Rocco,0,17381942,122
244,0110684,Nobody's Fool,Robert Benton,20000000,39491975,110
245,0110638,Nell,Michael Apted,24500000,106683817,112
246,0113967,New Jersey Drive,Nick Gomez,5000000,3565508,98
247,0117169,New York Cop,Tôru Murakawa,0,0,93
248,0106402,Beyond Bedlam,Vadim Jean,3000000,0,89
249,0110671,Nina Takes a Lover,Alan Jacobs,0,0,98
250,0110632,Natural Born Killers,Oliver Stone,34000000,50287182,119
251,0110737,Only You,Norman Jewison,0,20059210,109
252,0110729,Once Were Warriors,Lee Tamahori,0,1608610,102
253,0114151,Poison Ivy II,Anne Goursaud,0,0,106
254,0114069,Outbreak,Wolfgang Petersen,50000000,189859560,127
255,0110413,Léon: The Professional,Luc Besson,16000000,20330788,110
256,0114113,The Perez Family,Mira Nair,11000000,2832826,113
257,0114210,A Pyromaniac's Love Story,Joshua Brand,0,345972,94
258,0110912,Pulp Fiction,Quentin Tarantino,8000000,213928762,154
259,0105652,Pushing Hands,Ang Lee,400000,152322,105
260,0110889,Priest,Antonia Bird,0,4165845,98
261,0110932,Quiz Show,Robert Redford,31000000,24822619,133
262,0114129,Picture Bride,Kayo Hatta,0,1238905,94
263,0110963,Queen Margot,Patrice Chéreau,42000000,1318578,161
264,0114214,The Quick and the Dead,Sam Raimi,32000000,18636537,108
265,0114296,Roommates,Peter Yates,22000000,12096881,108
266,0110907,Ready to Wear,Robert Altman,18000000,11300653,133
267,0111495,Three Colors: Red,Krzysztof Kieslowski,0,3641980,99
268,0108394,Three Colors: Blue,Krzysztof Kieslowski,0,1552993,98
269,0111507,Three Colors: White,Krzysztof Kieslowski,0,1289366,92
270,0114268,Rent-a-Kid,Fred Gerber,0,0,85
271,0110965,Relative Fear,George Mihalka,2500000,0,94
272,0114571,Stuart Saves His Family,Harold Ramis,0,912082,95
273,0111333,The Swan Princess,Richard Rich,45000000,9771658,90
274,0111112,The Secret of Roan Inish,John Sayles,3000000,6159269,103
275,0111255,The Specialist,Luis Llosa,45000000,170362582,110
276,0111282,Stargate,Roland Emmerich,55000000,196567262,116
277,0111070,The Santa Clause,John Pasquin,22000000,190539357,97
278,0111161,The Shawshank Redemption,Frank Darabont,25000000,29333735,142
279,0111149,Shallow Grave,Danny Boyle,2500000,8418797,89
280,0108260,Suture,Scott McGehee,0,102780,96
281,0106966,Strawberry & Chocolate,Tomás Gutiérrez Alea,0,2087569,108
282,0114594,Swimming with Sharks,George Huang,700000,382928,93
283,0111309,The Sum of Us,Geoff Burton,3465000,766464,100
284,0113936,National Lampoon's Senior Trip,Kelly Makin,0,4686937,91
285,0110081,To Live,Yimou Zhang,0,2332728,133
286,0114614,Tank Girl,Rachel Talalay,25000000,4064495,104
287,0114608,Tales from the Crypt: Demon Knight,Ernest R. Dickerson,13000000,21089146,92
288,0111280,Star Trek: Generations,David Carson,35000000,118071125,118
289,0114609,Tales from the Hood,Rusty Cundieff,6000000,11837928,98
290,0111454,Tom & Viv,Brian Gilbert,0,538534,115
291,0114852,Village of the Damned,John Carpenter,22000000,9418365,98
292,0114694,Tommy Boy,Peter Segal,20000000,32679899,97
293,0111590,Vanya on 42nd Street,Louis Malle,0,1746050,119
294,0114788,The Underneath,Steven Soderbergh,6500000,536023,99
295,0114888,The Walking Dead,Preston A. Whitmore II,15000000,6014341,88
296,0108550,What's Eating Gilbert Grape,Lasse Hallström,11000000,10032765,118
297,0114857,Virtuosity,Brett Leonard,30000000,24047675,106
298,0114924,While You Were Sleeping,Jon Turteltaub,17000000,182057016,103
299,0111667,The War,Jon Avnet,0,16928556,126
300,0109655,Double Happiness,Mina Shum,0,759393,87
301,0110598,Muriel's Wedding,P.J. Hogan,9000000,15510889,106
302,0112435,The Baby-Sitters Club,Melanie Mayron,6500000,9685976,94
303,0109040,Ace Ventura: Pet Detective,Tom Shadyac,15000000,107217396,86
304,0109045,"The Adventures of Priscilla, Queen of the Desert",Stephan Elliott,0,11302168,104
305,0106339,Backbeat,Iain Softley,0,4708451,100
306,0104779,Bitter Moon,Roman Polanski,5000000,1862805,139
307,0109348,Bullets Over Broadway,Woody Allen,20000000,13383747,98
308,0109444,Clear and Present Danger,Phillip Noyce,62000000,215887717,141
309,0109446,The Client,Joel Schumacher,45000000,117615211,119
310,0109484,"Corrina, Corrina",Jessie Nelson,15000000,20164171,115
311,0109504,Crooklyn,Spike Lee,14000000,13642925,115
312,0109506,The Crow,Alex Proyas,23000000,50844565,102
313,0109450,Cobb,Ron Shelton,0,1007583,128
314,0109813,The Flintstones,Brian Levant,46000000,341631208,91
315,0109830,Forrest Gump,Robert Zemeckis,55000000,678226465,142
316,0109831,Four Weddings and a Funeral,Mike Newell,4400000,245700832,117
317,0113305,Higher Learning,John Singleton,0,38290723,128
318,0110091,I Like It Like That,Darnell Martin,0,1760527,104
319,0110093,I Love Trouble,Charles Shyer,45000000,30806194,123
320,0110167,It Could Happen to You,Andrew Bergman,20000000,37939757,101
321,0110213,The Jungle Book,Stephen Sommers,27000000,52389402,111
322,0107472,"The Wonderful, Horrible Life of Leni Riefenstahl",Director,0,449707,183
323,0110357,The Lion King,Roger Allers,45000000,979161373,88
324,0107426,Little Buddha,Bernardo Bertolucci,35000000,4885392,123
325,0111686,New Nightmare,Wes Craven,8000000,19721741,112
326,0110475,The Mask,Chuck Russell,23000000,351583407,101
327,0110478,Maverick,Richard Donner,75000000,183031272,127
328,0110588,Mrs. Parker and the Vicious Circle,Alan Rudolph,7000000,2144667,125
329,0110622,Naked Gun 33 1/3: The Final Insult,Peter Segal,30000000,51132598,83
330,0110771,The Paper,Ron Howard,6000000,48424341,112
331,0110950,Reality Bites,Ben Stiller,11500000,33351557,99
332,0105226,Red Rock West,John Dahl,8000000,2502551,98
333,0110989,Richie Rich,Donald Petrie,40000000,38087756,95
334,0110997,The River Wild,Curtis Hanson,45000000,94216343,111
335,0111257,Speed,Jan de Bont,30000000,350448145,116
336,0111256,Speechless,Ron Underwood,38000000,20667959,99
337,0111438,Timecop,Peter Hyams,27000000,101646581,99
338,0111503,True Lies,James Cameron,115000000,378882411,141
339,0111693,When a Man Loves a Woman,Luis Mandoki,0,50021959,126
340,0111742,Wolf,Mike Nichols,70000000,131002597,125
341,0111756,Wyatt Earp,Lawrence Kasdan,63000000,25052000,191
342,0112443,Bad Company,Damian Harris,15000000,3674841,108
343,0110455,A Man of No Importance,Suri Krishnamma,0,920916,99
344,0111048,S.F.W.,Jefery Levy,0,63513,96
345,0110399,A Low Down Dirty Shame,Keenen Ivory Wayans,10000000,29392418,100
346,0112570,"Boys Life: Three Stories of Love, Lust, and Liberation",Robert Lee King,0,0,91
347,0109454,Colonel Chabert,Yves Angelo,0,464284,110
348,0059170,"Faster, Pussycat! Kill! Kill!",Russ Meyer,45000,0,83
349,0110186,Jason's Lyric,Doug McHenry,7000000,20851521,119
350,0111301,Street Fighter,Steven E. de Souza,35000000,99433436,102
351,0110027,Highlander: The Final Dimension,Andrew Morahan,26000000,12303080,99
352,0109785,Federal Hill,Michael Corrente,80000,514775,97
353,0113409,In the Mouth of Madness,John Carpenter,8000000,8926413,95
354,0109021,8 Seconds,John G. Avildsen,7000000,19623396,105
355,0109035,Above the Rim,Jeff Pollack,3500000,16192320,96
356,0106220,Addams Family Values,Barry Sonnenfeld,47000000,48919043,94
357,0106226,The Age of Innocence,Martin Scorsese,34000000,32255953,139
358,0109068,Airheads,Michael Lehmann,0,5751882,92
359,0109067,The Air Up There,Paul Michael Glaser,17080000,21011318,107
360,0106292,Another Stakeout,John Badham,0,20208496,108
361,0109198,Bad Girls,Jonathan Kaplan,25000000,15240435,99
362,0109219,Barcelona,Whit Stillman,3200000,7266973,101
363,0106379,Being Human,Bill Forsyth,40000000,1519366,122
364,0106400,The Beverly Hillbillies,Penelope Spheeris,25000000,57405220,92
365,0109254,Beverly Hills Cop III,John Landis,50000000,119208989,104
366,0109279,Black Beauty,Caroline Thompson,0,4630377,88
367,0109297,Blink,Michael Apted,11000000,16696219,106
368,0109303,Blown Away,Stephen Hopkins,28000000,30156002,121
369,0109305,Blue Chips,William Friedkin,0,23070663,108
370,0109306,Blue Sky,Tony Richardson,16000000,3359465,101
371,0106452,Body Snatchers,Abel Ferrara,13000000,428868,87
372,0106471,Boxing Helena,Jennifer Lynch,0,1796389,107
373,0106489,A Bronx Tale,Robert De Niro,22000000,17287898,121
374,0109361,Cabin Boy,Adam Resnick,9000000,3662459,80
375,0106505,Calendar Girl,John Whitesell,13000000,2570550,90
376,0106519,Carlito's Way,Brian De Palma,30000000,63848322,144
377,0109439,City Slickers II: The Legend of Curly's Gold,Paul Weiland,40000000,43622150,116
378,0109443,Clean Slate,Mick Jackson,18000000,7355425,107
379,0106582,Cliffhanger,Renny Harlin,70000000,255000211,113
380,0106598,Coneheads,Steve Barron,30000000,21274717,88
381,0109456,Color of Night,Richard Rush,40000000,19726050,121
382,0109480,Cops and Robbersons,Michael Ritchie,0,11391093,93
383,0109493,The Cowboy Way,Gregg Champion,35000000,20280016,102
384,0106673,Dave,Ivan Reitman,28000000,63270710,110
385,0106677,Dazed and Confused,Richard Linklater,6900000,8260382,103
386,0106697,Demolition Man,Marco Brambilla,57000000,58056466,115
387,0106834,Even Cowgirls Get the Blues,Gus Van Sant,8000000,1708873,106
388,0106873,Fatal Instinct,Carl Reiner,0,7839327,91
389,0106332,Farewell My Concubine,Kaige Chen,4000000,7437725,171
390,0106881,Fearless,Peter Weir,0,6995302,122
391,0106880,Fear of a Black Hat,Rusty Cundieff,999999,233824,88
392,0111732,With Honors,Alek Keshishian,0,20016254,101
393,0106926,Flesh and Bone,Steve Kloves,0,9709451,126
394,0111712,Widows' Peak,John Irvin,0,6243722,101
395,0106941,For Love or Money,Barry Sonnenfeld,30000000,11146270,96
396,0106918,The Firm,Sydney Pollack,42000000,270248367,154
397,0106965,Free Willy,Simon Wincer,20000000,153709806,112
398,0109842,Fresh,Boaz Yakin,3500000,8094616,114
399,0106977,The Fugitive,Andrew Davis,44000000,368875760,130
400,0107004,Geronimo: An American Legend,Walter Hill,35000000,18635620,115
401,0109890,The Getaway,Roger Donaldson,0,30057974,115
402,0109891,Getting Even with Dad,Howard Deutch,30000000,18869594,109
403,0109913,Go Fish,Rose Troche,15000,2405285,83
404,0107076,Hard Target,John Woo,18000000,74189677,97
405,0107144,Hot Shots! Part Deux,Jim Abrahams,25000000,133752825,86
406,0113674,Live Nude Girls,Julianna Lavin,0,23808,95
407,0112966,The Englishman Who Went Up a Hill But Came Down a Mountain,Christopher Monger,40997769,10904930,99
408,0107151,The House of the Spirits,Bille August,40000000,6265311,145
409,0110064,House Party 3,Eric Meza,0,19281235,100
410,0110074,The Hudsucker Proxy,Joel Coen,40000000,2816518,111
411,0110097,I'll Do Anything,James L. Brooks,40000000,10424645,115
412,0110123,In the Army Now,Daniel Petrie Jr.,0,28881266,91
413,0107206,In the Line of Fire,Wolfgang Petersen,40000000,176997168,128
414,0107207,In the Name of the Father,Jim Sheridan,13000000,65796862,133
415,0110137,The Inkwell,Matty Rich,8000000,8880705,110
416,0108551,What's Love Got to Do with It,Brian Gibson,15000000,39100956,118
417,0110197,Jimmy Hollywood,Barry Levinson,30000000,3783003,112
418,0107286,Judgment Night,Stephen Hopkins,21000000,12526677,110
419,0107290,Jurassic Park,Steven Spielberg,63000000,1104379926,127
420,0107302,Kalifornia,Dominic Sena,9000000,2395231,117
421,0110265,Killing Zoe,Roger Avary,1500000,418961,96
422,0110305,Lassie,Daniel Petrie,0,9994609,94
423,0107362,Last Action Hero,John McTiernan,85000000,137298489,130
424,0107413,Life with Mikey,James Lapine,0,12440858,91
425,0110353,Lightning Jack,Simon Wincer,36000000,16821273,98
426,0107468,M. Butterfly,David Cronenberg,17000000,1498795,101
427,0107478,Made in America,Richard Benjamin,22000000,104942695,111
428,0107497,Malice,Harold Becker,20000000,46405336,107
429,0107501,The Man Without a Face,Mel Gibson,20000000,24760338,115
430,0107507,Manhattan Murder Mystery,Woody Allen,13500000,11330911,104
431,0107554,Menace II Society,Albert Hughes,3500000,27912072,97
432,0116253,Executive Decision,Stuart Baird,55000000,121969216,133
433,0074102,In the Realm of the Senses,Nagisa Ôshima,0,569,109
434,0111689,What Happened Was...,Tom Noonan,120000,141,91
435,0107616,Much Ado About Nothing,Kenneth Branagh,11000000,22549338,111
